groupID,user1,user2,user3,user4,user5,user6,user7,user8
1,923,33,346,162,0,0,0,0
2,120,401,607,131,0,0,0,0
3,855,267,501,367,0,0,0,0
4,578,716,937,138,0,0,0,0
5,474,799,621,218,0,0,0,0
6,883,637,623,258,0,0,0,0
7,571,835,850,484,0,0,0,0
8,820,831,192,449,0,0,0,0
9,127,714,31,209,0,0,0,0
10,774,40,634,476,0,0,0,0
11,611,679,886,677,0,0,0,0
12,191,282,797,273,0,0,0,0
13,845,874,941,667,0,0,0,0
14,13,786,81,567,0,0,0,0
15,348,178,790,374,0,0,0,0
16,673,297,208,165,0,0,0,0
17,416,340,331,483,0,0,0,0
18,670,912,259,566,0,0,0,0
19,562,430,642,881,0,0,0,0
20,568,585,417,153,0,0,0,0
21,753,867,815,905,0,0,0,0
22,265,710,514,531,0,0,0,0
23,333,719,492,475,0,0,0,0
24,729,756,503,39,0,0,0,0
25,144,460,632,21,0,0,0,0
26,184,137,173,481,0,0,0,0
27,851,74,18,805,0,0,0,0
28,380,88,672,504,0,0,0,0
29,875,602,423,213,0,0,0,0
30,646,614,873,227,0,0,0,0
31,298,929,310,754,0,0,0,0
32,204,169,836,787,0,0,0,0
33,269,202,85,548,0,0,0,0
34,468,871,79,289,0,0,0,0
35,387,827,494,876,0,0,0,0
36,809,125,856,526,0,0,0,0
37,888,785,464,303,0,0,0,0
38,773,177,38,352,0,0,0,0
39,903,560,454,263,0,0,0,0
40,819,463,284,354,0,0,0,0
41,546,159,196,91,914,0,0,0
42,469,350,609,149,697,0,0,0
43,770,500,185,415,336,0,0,0
44,363,739,920,324,67,0,0,0
45,276,426,901,645,595,0,0,0
46,826,917,321,833,135,0,0,0
47,908,818,121,126,161,0,0,0
48,238,659,293,587,704,0,0,0
49,687,942,472,727,858,0,0,0
50,521,608,405,496,511,0,0,0
51,893,274,145,68,529,0,0,0
52,745,924,473,197,938,0,0,0
53,784,15,2,151,1,0,0,0
54,782,194,700,288,440,0,0,0
55,857,824,353,933,203,0,0,0
56,139,532,744,853,781,0,0,0
57,245,497,865,56,576,0,0,0
58,240,930,699,207,524,0,0,0
59,255,247,140,103,54,0,0,0
60,244,577,377,168,11,0,0,0
61,105,731,311,742,847,0,0,0
62,24,419,678,36,940,0,0,0
63,60,171,134,86,206,0,0,0
64,438,934,35,612,600,0,0,0
65,382,486,118,323,498,0,0,0
66,706,798,371,584,388,0,0,0
67,927,102,750,582,43,0,0,0
68,776,8,152,158,446,0,0,0
69,597,116,396,189,688,0,0,0
70,726,599,555,800,552,0,0,0
71,277,222,73,889,226,0,0,0
72,769,92,686,692,844,0,0,0
73,693,175,896,593,193,0,0,0
74,868,133,517,147,814,0,0,0
75,490,148,261,183,708,0,0,0
76,217,395,62,403,579,0,0,0
77,682,12,61,803,747,0,0,0
78,320,186,879,894,738,0,0,0
79,301,910,872,322,832,0,0,0
80,187,852,690,412,257,0,0,0
81,44,180,804,256,124,437,0,0
82,349,647,779,201,471,233,0,0
83,246,789,421,928,676,63,0,0
84,563,830,848,698,287,495,0,0
85,684,728,308,17,528,443,0,0
86,662,306,390,70,573,533,0,0
87,381,407,104,316,431,30,0,0
88,631,764,915,42,655,723,0,0
89,411,391,638,450,392,96,0,0
90,604,891,705,838,235,156,0,0
91,9,357,461,712,214,892,0,0
92,399,167,807,26,34,572,0,0
93,176,636,114,911,379,674,0,0
94,763,605,326,271,649,669,0,0
95,816,810,482,898,424,198,0,0
96,459,825,254,664,737,491,0,0
97,155,812,932,680,709,453,0,0
98,542,734,358,420,109,384,0,0
