ID	groupID	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10
1	29	65	484	128	319	409	99	358	57	174	516
2	69	319	175	314	65	484	273	51	128	23	90
3	109	51	319	65	175	13	484	173	317	409	287
4	149	484	99	128	51	65	314	57	319	13	135
5	189	319	65	484	128	259	604	170	51	409	23
6	30	409	65	273	319	51	484	170	13	128	314
7	70	319	65	484	314	358	317	287	99	604	12
8	110	358	128	13	51	101	319	65	484	135	173
9	150	319	314	23	65	484	175	51	170	497	128
10	190	65	484	319	128	13	57	99	51	101	409
11	21	51	484	13	319	314	65	272	144	170	409
12	61	484	319	51	99	57	128	192	175	475	65
13	101	65	484	51	319	173	175	409	170	57	23
14	141	484	604	101	51	319	57	65	198	475	175
15	181	65	319	314	51	175	13	409	170	174	23
16	14	314	65	319	101	175	13	273	484	428	475
17	54	484	319	65	516	170	604	358	481	428	286
18	94	51	13	174	60	173	314	65	484	170	99
19	134	51	484	65	175	314	319	173	128	512	13
20	174	409	484	51	170	57	319	13	99	173	475
26	9	51	484	319	65	179	604	170	13	9	273
27	49	484	65	13	51	319	128	170	173	409	475
30	89	65	314	484	516	319	409	604	99	475	170
37	129	604	13	484	319	57	188	314	409	316	170
42	169	175	51	314	173	65	303	97	128	2	13
23	40	65	319	51	273	57	314	409	170	512	99
28	80	51	319	65	314	173	13	175	182	301	174
40	120	65	319	13	484	170	128	51	99	273	286
41	160	51	13	65	175	97	173	170	314	484	475
44	200	319	51	128	65	604	198	101	175	409	23
33	6	51	314	319	484	13	175	65	481	497	428
35	46	314	175	23	65	319	97	170	13	484	51
38	86	484	51	170	173	135	475	409	175	10	128
39	126	319	101	51	65	170	316	358	484	409	175
43	166	51	319	484	128	65	314	273	198	604	179
47	17	65	319	484	273	314	128	13	604	409	57
48	57	319	57	65	51	13	174	97	170	90	135
49	97	319	65	51	23	484	90	314	200	273	128
50	137	65	484	13	319	99	135	51	409	314	475
51	177	51	319	57	484	65	13	170	273	128	358
55	19	57	475	13	51	128	409	135	286	319	90
56	59	51	484	319	65	314	175	128	101	13	273
57	99	51	182	319	173	484	13	65	409	512	170
58	139	65	314	319	51	175	13	273	497	23	173
59	179	51	65	484	57	170	128	99	303	173	358
60	15	51	128	57	170	181	174	101	65	13	12
61	55	484	128	101	65	409	358	319	512	1210	314
62	95	175	51	319	65	484	409	170	314	200	497
63	135	484	65	319	51	175	314	173	99	128	135
64	175	57	175	270	170	13	319	99	604	51	97
65	4	484	65	319	51	23	57	115	13	516	475
66	44	319	65	51	99	358	173	484	175	314	128
67	84	51	319	13	484	173	99	314	65	84	286
68	124	319	358	484	51	175	314	65	135	428	99
69	164	409	170	319	128	51	23	484	65	101	475
70	3	57	13	128	319	99	170	358	409	516	192
71	43	319	484	358	65	516	303	273	99	179	101
72	83	484	319	65	13	101	135	174	23	122	428
73	123	314	175	13	51	170	173	65	316	23	484
74	163	65	175	51	314	319	13	23	205	273	97
76	5	144	57	9	295	122	2	51	99	182	13
77	45	157	347	314	57	99	51	476	122	481	176
78	85	13	99	57	183	409	51	128	90	65	181
79	125	319	516	57	99	273	475	409	133	182	51
81	165	51	65	314	319	23	99	175	101	13	174
96	11	319	65	175	484	314	186	497	481	2	428
97	51	13	65	319	170	175	484	314	128	428	173
100	91	319	65	99	484	101	314	128	358	57	13
103	131	319	314	65	484	128	170	51	604	175	409
105	171	51	516	319	170	128	484	57	65	101	409
111	20	314	319	65	175	23	273	497	51	484	655
112	60	604	484	319	65	409	170	481	99	133	192
113	100	319	175	51	184	484	99	65	97	314	13
114	140	51	484	314	273	604	65	319	409	480	303
115	180	484	99	65	170	428	314	604	358	319	51
121	28	319	51	175	13	182	484	314	475	65	276
122	68	319	484	101	57	409	516	51	192	316	286
123	108	319	65	484	314	51	170	13	516	128	23
124	148	319	484	65	99	516	428	358	604	273	70
125	188	319	51	65	314	175	484	128	173	516	273
136	38	314	319	57	23	51	303	476	65	13	175
137	78	319	65	484	128	51	314	175	409	475	358
138	118	51	57	65	175	173	319	484	13	97	170
139	158	319	484	51	65	497	175	428	134	314	23
140	198	484	319	604	516	428	51	358	303	276	65
146	37	99	101	174	484	314	475	295	409	115	516
147	77	319	175	484	409	51	751	273	200	475	287
148	117	51	65	319	314	428	57	173	99	175	484
149	157	133	319	51	314	217	175	484	65	273	127
150	197	133	174	12	195	144	99	409	314	319	175
151	31	286	259	484	604	99	319	270	314	57	23
152	71	128	57	65	13	319	192	175	99	115	604
153	111	65	314	484	51	303	13	101	286	128	681
154	151	484	319	65	604	314	51	409	135	99	428
155	191	51	319	484	65	133	314	259	175	135	516
156	18	484	170	319	604	481	174	409	13	65	135
157	58	51	319	604	484	136	289	97	84	174	65
158	98	484	51	319	65	173	516	604	409	497	481
159	138	319	115	65	99	358	135	97	428	174	13
160	178	170	51	57	65	99	484	604	128	13	516
161	35	128	65	175	51	13	182	180	170	99	484
162	75	319	65	175	484	287	51	10	991	23	1026
163	115	319	65	273	314	484	516	604	128	99	10
164	155	319	51	484	65	175	409	13	170	128	173
165	195	65	51	319	314	182	173	484	23	205	170
166	12	604	182	749	97	175	266	135	57	181	99
167	52	186	196	175	188	319	409	286	287	358	516
168	92	497	188	115	122	170	301	179	51	484	83
169	132	196	269	476	97	188	273	604	286	276	409
170	172	286	182	101	476	188	136	13	157	99	319
176	33	484	51	128	319	409	604	57	180	358	133
177	73	13	65	319	115	99	51	484	57	128	170
178	113	319	65	51	128	484	170	175	358	13	174
179	153	51	57	170	604	128	65	175	475	144	358
180	193	484	319	475	65	51	409	604	128	115	314
192	24	314	65	175	319	273	484	13	99	23	96
