681	 107	 591	 57	 661	 502	 400	 383
Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Legends of the Fall (1994)	 Supercop (1992)	 Marvin's Room (1996)	 Priest (1994)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Heavy Metal (1981)	 Legends of the Fall (1994)	 Raiders of the Lost Ark (1981)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Searching for Bobby Fischer (1993)
Princess Bride, The (1987)	 Harold and Maude (1971)	 Jack (1996)	 Taxi Driver (1976)	 Cinema Paradiso (1988)	 Priest (1994)	 Heat (1995)	 It Happened One Night (1934)
Jack (1996)	 What's Eating Gilbert Grape (1993)	 Trainspotting (1996)	 Dances with Wolves (1990)	 Wrong Trousers, The (1993)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heathers (1989)
Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Phenomenon (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Notorious (1946)
Cinema Paradiso (1988)	 Spawn (1997)	 Wings of Desire (1987)	 Princess Bride, The (1987)	 GoodFellas (1990)	 First Wives Club, The (1996)	 Wild Bunch, The (1969)	 Pump Up the Volume (1990)
Raiders of the Lost Ark (1981)	 It Happened One Night (1934)	 D3: The Mighty Ducks (1996)	 GoodFellas (1990)	 Mighty Aphrodite (1995)	 English Patient, The (1996)	 French Twist (Gazon maudit) (1995)	 Some Like It Hot (1959)
Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 English Patient, The (1996)	 Dead Poets Society (1989)	 Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 Local Hero (1983)	 Stand by Me (1986)
What's Eating Gilbert Grape (1993)	 Gone with the Wind (1939)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Princess Bride, The (1987)	 Cinema Paradiso (1988)	 As Good As It Gets (1997)	 Apartment, The (1960)
Mighty Aphrodite (1995)	 Clockwork Orange, A (1971)	 Mr. Holland's Opus (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Spawn (1997)	 Die Hard (1988)	 Trainspotting (1996)
