546	 159	 196	 91	 914
Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 North by Northwest (1959)	 Priest (1994)
GoodFellas (1990)	 Supercop (1992)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)
Princess Bride, The (1987)	 Heavy Metal (1981)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Snow White and the Seven Dwarfs (1937)
Brazil (1985)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Pump Up the Volume (1990)	 Spawn (1997)
Mighty Aphrodite (1995)	 Jack (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Casablanca (1942)	 So I Married an Axe Murderer (1993)
Cinema Paradiso (1988)	 Wings of Desire (1987)	 Mighty Aphrodite (1995)	 Clockwork Orange, A (1971)	 Jack (1996)
What's Eating Gilbert Grape (1993)	 Harold and Maude (1971)	 What's Eating Gilbert Grape (1993)	 Trainspotting (1996)	 Raiders of the Lost Ark (1981)
3 Ninjas: High Noon At Mega Mountain (1998)	 Raging Bull (1980)	 Princess Bride, The (1987)	 Local Hero (1983)	 Brazil (1985)
M*A*S*H (1970)	 Pump Up the Volume (1990)	 Taxi Driver (1976)	 Everyone Says I Love You (1996)	 Supercop (1992)
Taxi Driver (1976)	 Richard III (1995)	 Snow White and the Seven Dwarfs (1937)	 Wings of Desire (1987)	 What's Eating Gilbert Grape (1993)

469	 350	 609	 149	 697
Everyone Says I Love You (1996)	 Trainspotting (1996)	 Snow White and the Seven Dwarfs (1937)	 Legends of the Fall (1994)	 Jack (1996)
Spawn (1997)	 English Patient, The (1996)	 It Happened One Night (1934)	 Jack (1996)	 Heavy Metal (1981)
Supercop (1992)	 Supercop (1992)	 Nikita (La Femme Nikita) (1990)	 Raiders of the Lost Ark (1981)	 Apocalypse Now (1979)
Nikita (La Femme Nikita) (1990)	 Restoration (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)
Full Metal Jacket (1987)	 Maltese Falcon, The (1941)	 Harold and Maude (1971)	 GoodFellas (1990)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)	 Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Trainspotting (1996)
Clockwork Orange, A (1971)	 Jack (1996)	 Blues Brothers, The (1980)	 So I Married an Axe Murderer (1993)	 Cinema Paradiso (1988)
Brazil (1985)	 Richard III (1995)	 Bram Stoker's Dracula (1992)	 Better Off Dead... (1985)	 Marvin's Room (1996)
Legends of the Fall (1994)	 So I Married an Axe Murderer (1993)	 Local Hero (1983)	 Delicatessen (1991)	 Local Hero (1983)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jungle2Jungle (1997)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)

770	 500	 185	 415	 336
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Ulee's Gold (1997)	 Apartment, The (1960)
Heat (1995)	 Tomorrow Never Dies (1997)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Local Hero (1983)	 Spawn (1997)	 English Patient, The (1996)	 Supercop (1992)	 Spawn (1997)
Snow White and the Seven Dwarfs (1937)	 Haunted World of Edward D. Wood Jr., The (1995)	 Leaving Las Vegas (1995)	 Heat (1995)	 Ulee's Gold (1997)
Shining, The (1980)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Priest (1994)	 Supercop (1992)
