923	 33	 346	 162
Legends of the Fall (1994)	 Supercop (1992)	 Maltese Falcon, The (1941)	 As Good As It Gets (1997)
GoodFellas (1990)	 Priest (1994)	 Priest (1994)	 In the Name of the Father (1993)
Raiders of the Lost Ark (1981)	 Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Snow White and the Seven Dwarfs (1937)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Heat (1995)
Everyone Says I Love You (1996)	 Snow White and the Seven Dwarfs (1937)	 Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)
Princess Bride, The (1987)	 Spawn (1997)	 Jack (1996)	 Spawn (1997)
Local Hero (1983)	 Mighty Aphrodite (1995)	 Delicatessen (1991)	 Three Colors: White (1994)
Jack (1996)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 First Wives Club, The (1996)
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Restoration (1995)
Brazil (1985)	 Full Metal Jacket (1987)	 Pump Up the Volume (1990)	 It Happened One Night (1934)

120	 401	 607	 131
Ulee's Gold (1997)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 GoldenEye (1995)
Jack (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)	 Usual Suspects, The (1995)
Maltese Falcon, The (1941)	 Brazil (1985)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)
Haunted World of Edward D. Wood Jr., The (1995)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Brazil (1985)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)	 Raging Bull (1980)
Heat (1995)	 Princess Bride, The (1987)	 What's Eating Gilbert Grape (1993)	 Patton (1970)
This Is Spinal Tap (1984)	 Ulee's Gold (1997)	 Priest (1994)	 M*A*S*H (1970)
Tomorrow Never Dies (1997)	 George of the Jungle (1997)	 Spawn (1997)	 Mars Attacks! (1996)
Marvin's Room (1996)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)
Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Princess Bride, The (1987)	 Evita (1996)

855	 267	 501	 367
Priest (1994)	 Mighty Aphrodite (1995)	 Priest (1994)	 Priest (1994)
Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Snow White and the Seven Dwarfs (1937)
Spawn (1997)	 Legends of the Fall (1994)	 Trainspotting (1996)	 Supercop (1992)
Supercop (1992)	 Raiders of the Lost Ark (1981)	 Rumble in the Bronx (1995)	 Spawn (1997)
Evil Dead II (1987)	 Jack (1996)	 Mighty Aphrodite (1995)	 Gattaca (1997)
Right Stuff, The (1983)	 Cinema Paradiso (1988)	 Three Colors: White (1994)	 It Happened One Night (1934)
Mighty Aphrodite (1995)	 Local Hero (1983)	 Babe (1995)	 Apocalypse Now (1979)
Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Supercop (1992)	 Local Hero (1983)
Amadeus (1984)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Raging Bull (1980)	 Pump Up the Volume (1990)	 First Wives Club, The (1996)	 Raging Bull (1980)

578	 716	 937	 138
Taxi Driver (1976)	 What's Eating Gilbert Grape (1993)	 Trainspotting (1996)	 Legends of the Fall (1994)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)
What's Eating Gilbert Grape (1993)	 Priest (1994)	 Jack (1996)	 Brazil (1985)
Everyone Says I Love You (1996)	 Spawn (1997)	 Snow White and the Seven Dwarfs (1937)	 Dead Poets Society (1989)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Clockwork Orange, A (1971)	 Princess Bride, The (1987)
3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)	 It Happened One Night (1934)	 Priest (1994)
Mask, The (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 North by Northwest (1959)	 Ulee's Gold (1997)
GoodFellas (1990)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Twister (1996)
Delicatessen (1991)	 Local Hero (1983)	 Local Hero (1983)	 Mighty Aphrodite (1995)
Shining, The (1980)	 Heat (1995)	 Pump Up the Volume (1990)	 M*A*S*H (1970)

474	 799	 621	 218
What's Eating Gilbert Grape (1993)	 Cable Guy, The (1996)	 Breakdown (1997)	 Priest (1994)
Supercop (1992)	 Legends of the Fall (1994)	 GoldenEye (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)
Mighty Aphrodite (1995)	 M*A*S*H (1970)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)
Princess Bride, The (1987)	 Raiders of the Lost Ark (1981)	 Brazil (1985)	 Mighty Aphrodite (1995)
Snow White and the Seven Dwarfs (1937)	 MatchMaker, The (1997)	 Dances with Wolves (1990)	 Usual Suspects, The (1995)
Everyone Says I Love You (1996)	 Die Hard (1988)	 Bram Stoker's Dracula (1992)	 Snow White and the Seven Dwarfs (1937)
Full Metal Jacket (1987)	 Brazil (1985)	 M*A*S*H (1970)	 Dead Man Walking (1995)
Legends of the Fall (1994)	 GoodFellas (1990)	 Cinema Paradiso (1988)	 Two if by Sea (1996)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 On Golden Pond (1981)	 Hot Shots! Part Deux (1993)
Jack (1996)	 Taxi Driver (1976)	 Crow: City of Angels, The (1996)	 Pump Up the Volume (1990)

883	 637	 623	 258
Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Restoration (1995)
What's Eating Gilbert Grape (1993)	 George of the Jungle (1997)	 Legends of the Fall (1994)	 Heavy Metal (1981)
3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mr. Holland's Opus (1995)
Maltese Falcon, The (1941)	 Emma (1996)	 Raiders of the Lost Ark (1981)	 Maltese Falcon, The (1941)
Apartment, The (1960)	 Dances with Wolves (1990)	 First Wives Club, The (1996)	 Jack (1996)
Bringing Up Baby (1938)	 In & Out (1997)	 Princess Bride, The (1987)	 English Patient, The (1996)
Brazil (1985)	 U Turn (1997)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)
Harold and Maude (1971)	 Cable Guy, The (1996)	 Brazil (1985)	 Trainspotting (1996)
Mighty Aphrodite (1995)	 Twister (1996)	 Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)

571	 835	 850	 484
Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Haunted World of Edward D. Wood Jr., The (1995)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Star Trek III: The Search for Spock (1984)
Jack (1996)	 In the Name of the Father (1993)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Brazil (1985)	 Leaving Las Vegas (1995)
English Patient, The (1996)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Jack (1996)
Mighty Aphrodite (1995)	 Spawn (1997)	 Cable Guy, The (1996)	 Cinema Paradiso (1988)
