546	 159	 196	 91	 914
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)
Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Everyone Says I Love You (1996)	 Jack (1996)	 Cinema Paradiso (1988)	 Jack (1996)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Legends of the Fall (1994)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Wings of Desire (1987)	 Heat (1995)
Haunted World of Edward D. Wood Jr., The (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Supercop (1992)	 Cinema Paradiso (1988)	 Clockwork Orange, A (1971)
Heat (1995)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Trainspotting (1996)	 Mighty Aphrodite (1995)
English Patient, The (1996)	 Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)	 It Happened One Night (1934)

469	 350	 609	 149	 697
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Jack (1996)
Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 Jack (1996)	 Jack (1996)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)
Supercop (1992)	 2001: A Space Odyssey (1968)	 English Patient, The (1996)	 Heat (1995)	 It Happened One Night (1934)
It Happened One Night (1934)	 Spawn (1997)	 Spawn (1997)	 2001: A Space Odyssey (1968)	 Pump Up the Volume (1990)
Wings of Desire (1987)	 Supercop (1992)	 2001: A Space Odyssey (1968)	 Pump Up the Volume (1990)	 Heat (1995)

770	 500	 185	 415	 336
Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)
It Happened One Night (1934)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Spawn (1997)	 Supercop (1992)	 Legends of the Fall (1994)
Clockwork Orange, A (1971)	 Supercop (1992)	 Supercop (1992)	 Cinema Paradiso (1988)	 Supercop (1992)
Spawn (1997)	 Heat (1995)	 Clockwork Orange, A (1971)	 Harold and Maude (1971)	 2001: A Space Odyssey (1968)

363	 739	 920	 324	 67
Jack (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Jack (1996)
