923	 33	 346	 162
What's Eating Gilbert Grape (1993)	 Jack (1996)	 Maltese Falcon, The (1941)	 Jack (1996)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Annie Hall (1977)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
Jack (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)	 Cinema Paradiso (1988)
Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 It Happened One Night (1934)
Mighty Aphrodite (1995)	 Supercop (1992)	 Supercop (1992)	 Heat (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Brazil (1985)	 Local Hero (1983)
Brazil (1985)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 English Patient, The (1996)

120	 401	 607	 131
Jack (1996)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)
Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Jack (1996)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 Jack (1996)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Brazil (1985)
Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Jack (1996)
It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Haunted World of Edward D. Wood Jr., The (1995)	 Maltese Falcon, The (1941)
Supercop (1992)	 Brazil (1985)	 Brazil (1985)	 Haunted World of Edward D. Wood Jr., The (1995)
Clockwork Orange, A (1971)	 It Happened One Night (1934)	 Heat (1995)	 Heat (1995)

855	 267	 501	 367
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Jack (1996)
Jack (1996)	 Jack (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Jack (1996)	 Legends of the Fall (1994)
What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)
Legends of the Fall (1994)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Heat (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Supercop (1992)
Spawn (1997)	 Clockwork Orange, A (1971)	 Supercop (1992)	 Pump Up the Volume (1990)
Apartment, The (1960)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)

578	 716	 937	 138
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Jack (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
Jack (1996)	 Cinema Paradiso (1988)	 Jack (1996)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Legends of the Fall (1994)
Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)
It Happened One Night (1934)	 It Happened One Night (1934)	 2001: A Space Odyssey (1968)	 Brazil (1985)
2001: A Space Odyssey (1968)	 Supercop (1992)	 Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)

474	 799	 621	 218
Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
