455	 402	 922	 234	 724	 425	 788
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Jack (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Jack (1996)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)
Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Pump Up the Volume (1990)	 Mighty Aphrodite (1995)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 Spawn (1997)	 Legends of the Fall (1994)	 English Patient, The (1996)	 Local Hero (1983)	 Legends of the Fall (1994)	 Supercop (1992)
It Happened One Night (1934)	 Cinema Paradiso (1988)	 Heat (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)
3 Ninjas: High Noon At Mega Mountain (1998)	 Local Hero (1983)	 It Happened One Night (1934)	 Local Hero (1983)	 Spawn (1997)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)
Spawn (1997)	 2001: A Space Odyssey (1968)	 2001: A Space Odyssey (1968)	 Heat (1995)	 Heat (1995)	 Maltese Falcon, The (1941)	 Heat (1995)

588	 262	 84	 689	 445	 285	 231
Maltese Falcon, The (1941)	 Jack (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Jack (1996)	 Mighty Aphrodite (1995)	 Jack (1996)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)
Mighty Aphrodite (1995)	 Local Hero (1983)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Legends of the Fall (1994)
It Happened One Night (1934)	 Heat (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Heat (1995)
Supercop (1992)	 It Happened One Night (1934)	 Brazil (1985)	 Heat (1995)	 Heat (1995)	 Heat (1995)	 It Happened One Night (1934)
Heat (1995)	 Supercop (1992)	 Heat (1995)	 Supercop (1992)	 Brazil (1985)	 Haunted World of Edward D. Wood Jr., The (1995)	 Apartment, The (1960)

398	 368	 761	 530	 813	 364	 713
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Jack (1996)
Maltese Falcon, The (1941)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)
Jack (1996)	 Cinema Paradiso (1988)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Heat (1995)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Jack (1996)	 Legends of the Fall (1994)
Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Annie Hall (1977)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)
Mighty Aphrodite (1995)	 Heat (1995)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Supercop (1992)
Legends of the Fall (1994)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Heat (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Heat (1995)
