455	 402	 922	 234	 724	 425	 788
3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)
Taxi Driver (1976)	 In the Name of the Father (1993)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Leaving Las Vegas (1995)	 Taxi Driver (1976)
Brazil (1985)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Richard III (1995)	 Raiders of the Lost Ark (1981)
Everyone Says I Love You (1996)	 Silence of the Lambs, The (1991)	 Legends of the Fall (1994)	 Spawn (1997)	 Heat (1995)	 Miami Rhapsody (1995)	 Brazil (1985)
Die Hard (1988)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 Harold and Maude (1971)	 Priest (1994)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Harold and Maude (1971)	 Die Hard (1988)	 Silence of the Lambs, The (1991)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Heat (1995)
Dances with Wolves (1990)	 Shadowlands (1993)	 GoodFellas (1990)	 Nikita (La Femme Nikita) (1990)	 Everyone Says I Love You (1996)	 Last Supper, The (1995)	 Everyone Says I Love You (1996)
M*A*S*H (1970)	 High Noon (1952)	 Graduate, The (1967)	 What's Eating Gilbert Grape (1993)	 Dead Poets Society (1989)	 That Thing You Do! (1996)	 In the Name of the Father (1993)
Mighty Aphrodite (1995)	 Bram Stoker's Dracula (1992)	 Mighty Aphrodite (1995)	 Delicatessen (1991)	 Cinema Paradiso (1988)	 North by Northwest (1959)	 Legends of the Fall (1994)
Four Weddings and a Funeral (1994)	 Robert A. Heinlein's The Puppet Masters (1994)	 Everyone Says I Love You (1996)	 Bram Stoker's Dracula (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Godfather, The (1972)	 George of the Jungle (1997)

588	 262	 84	 689	 445	 285	 231
3 Ninjas: High Noon At Mega Mountain (1998)	 As Good As It Gets (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 U Turn (1997)	 Heavy Metal (1981)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
