44	 180	 804	 256	 124	 437
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Legends of the Fall (1994)	 Jack (1996)	 Jack (1996)
Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Supercop (1992)	 Supercop (1992)
Mighty Aphrodite (1995)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)
Snow White and the Seven Dwarfs (1937)	 Clockwork Orange, A (1971)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)
It Happened One Night (1934)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Pump Up the Volume (1990)	 Legends of the Fall (1994)
Haunted World of Edward D. Wood Jr., The (1995)	 English Patient, The (1996)	 Heat (1995)	 Supercop (1992)	 It Happened One Night (1934)	 Spawn (1997)

349	 647	 779	 201	 471	 233
Everyone Says I Love You (1996)	 Jack (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
It Happened One Night (1934)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)
Cinema Paradiso (1988)	 Supercop (1992)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 English Patient, The (1996)	 Supercop (1992)	 Heat (1995)	 Supercop (1992)	 2001: A Space Odyssey (1968)
Heat (1995)	 Heat (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Clockwork Orange, A (1971)
Spawn (1997)	 Harold and Maude (1971)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)	 Apartment, The (1960)

246	 789	 421	 928	 676	 63
Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Cinema Paradiso (1988)
Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Jack (1996)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)
3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 English Patient, The (1996)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)
Legends of the Fall (1994)	 Brazil (1985)	 Supercop (1992)	 Legends of the Fall (1994)	 Heat (1995)	 Mighty Aphrodite (1995)
Local Hero (1983)	 Heat (1995)	 It Happened One Night (1934)	 Supercop (1992)	 2001: A Space Odyssey (1968)	 Heat (1995)
